numero_img,index,id,country,country_code,city,node_type,latitude,longitude,indice,category,Angle_0,Angle_90,Angle_180,Angle_270,Angle_0_count,Angle_90_count,Angle_180_count,Angle_270_count,total_tags
393,45,COL73,ecuador_colombia,COL,medellin,secundaria,6.2722687,-75.5609785,COL_medellin_S_393,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
401,45,COL74,ecuador_colombia,COL,medellin,secundaria,6.2769011,-75.5612338,COL_medellin_S_401,autonomy,,,{'class_name': 'Shade umbrella'},,0,0,1,0,1
403,45,COL75,ecuador_colombia,COL,medellin,secundaria,6.2774154,-75.5624018,COL_medellin_S_403,autonomy,,,{'class_name': 'Shade umbrella'},,0,0,1,0,1
404,45,COL76,ecuador_colombia,COL,medellin,secundaria,6.2743993,-75.5628113,COL_medellin_S_404,autonomy,,{'class_name': 'Shade umbrella'},,,0,1,0,0,1
406,45,COL77,ecuador_colombia,COL,medellin,secundaria,6.2740403,-75.5591972,COL_medellin_S_406,autonomy,{'class_name': 'Sun umbrella'},,,,1,0,0,0,1
416,45,COL78,ecuador_colombia,COL,medellin,secundaria,6.2773432,-75.557313,COL_medellin_S_416,autonomy,{'class_name': 'Shade umbrella'},,,,1,0,0,0,1
432,45,COL79,ecuador_colombia,COL,medellin,secundaria,6.2751854,-75.5576498,COL_medellin_S_432,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
444,45,COL80,ecuador_colombia,COL,medellin,secundaria,6.2726298,-75.5581425,COL_medellin_S_444,autonomy,,,{'class_name': 'Cement box'},,0,0,1,0,1
451,45,COL81,ecuador_colombia,COL,medellin,secundaria,6.2742081,-75.5578259,COL_medellin_S_451,autonomy,,,{'class_name': 'Bench'},{'class_name': 'Bench'},0,0,1,1,2
453,45,COL82,ecuador_colombia,COL,medellin,secundaria,6.2750651,-75.5583314,COL_medellin_S_453,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
463,46,COL83,ecuador_colombia,COL,medellin,secundaria,6.2764287,-75.5549227,COL_medellin_S_463,autonomy,,,{'class_name': 'Shade umbrella'},,0,0,1,0,1
464,46,COL84,ecuador_colombia,COL,medellin,secundaria,6.2790295,-75.5544599,COL_medellin_S_464,autonomy,{'class_name': 'Shade umbrella'},,,,1,0,0,0,1
489,46,COL85,ecuador_colombia,COL,medellin,secundaria,6.2762399,-75.5586031,COL_medellin_S_489,autonomy,,,,{'class_name': 'Shade umbrella'},0,0,0,1,1
494,46,COL86,ecuador_colombia,COL,medellin,secundaria,6.2750879,-75.5571096,COL_medellin_S_494,autonomy,{'class_name': 'Concrete planter'},,,,1,0,0,0,1
495,46,COL87,ecuador_colombia,COL,medellin,secundaria,6.2738255,-75.5549892,COL_medellin_S_495,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
498,46,COL88,ecuador_colombia,COL,medellin,secundaria,6.2743368,-75.5578519,COL_medellin_S_498,autonomy,{'class_name': 'Bench'},,,{'class_name': 'Bench'},1,0,0,1,2
503,46,COL89,ecuador_colombia,COL,medellin,secundaria,6.2764257,-75.5596377,COL_medellin_S_503,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
