index|id|country|country_code|city|node_type|latitude|longitude
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9587444|-60.6897839
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9590794|-60.6884495
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.959126|-60.6881351
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9584003|-60.6880757
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9595784|-60.687976
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9585041|-60.6875308
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.959126|-60.6874388
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9577888|-60.684818
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9601871|-60.6852175
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9578424|-60.6852857
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.959289|-60.6899232
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9580788|-60.6896136
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.960659|-60.6888533
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9595318|-60.6885635
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9597829|-60.6871574
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9600226|-60.6858343
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9602737|-60.6844315
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9602544|-60.6845388
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9610164|-60.6889446
3|ARGS2003HRZ3|Argentina|ARG|Rosario|principal|-32.9594796504758|-60.6884952795297
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.956576|-60.6849727
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9563334|-60.6863092
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9575089|-60.6865976
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9597294|-60.6871419
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9572524|-60.6879921
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9570047|-60.6893387
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9567539|-60.6907027
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9565082|-60.6920476
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9581883|-60.6882264
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9585706|-60.6916403
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9588823|-60.6855458
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9586296|-60.6868719
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9580229|-60.6867234
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9583465|-60.6896857
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9585363|-60.6913426
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9585135|-60.6911437
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.95861|-60.6919792
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9625872|-60.685128
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9614235|-60.6876122
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9626088|-60.6850077
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9620681|-60.6877774
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9600768|-60.685848
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9623345|-60.6864173
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9614104|-60.6848327
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9624125|-60.6907005
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9609254|-60.6874846
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9577175|-60.6852542
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9582268|-60.6896443
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9584611|-60.6916688
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.958392|-60.6911133
